side,entry_time,exit_time,result,entry,stop0,risk_pct,r_net_pct,margin_pnl_10x,mae_pct,hold_days,P0,H1,R_low,R_high,fills
S,2021-05-17 20:00,2021-05-19 12:00,tp,44768.73,45937.40,2.610,14.109,141.09,-2.30,1.83,51483.00,43825.39,45800.00,42001.00,tp@41537 tp@40126 tp@37838 tp@34138
S,2021-05-19 20:00,2021-05-20 12:00,stop,38203.48,41010.66,7.348,-5.397,-53.97,-6.75,0.83,49795.89,42001.00,40888.00,30000.00,tp@37838 stop@41011
S,2021-05-21 00:00,2021-05-25 00:00,v,41302.75,42579.03,3.090,8.788,87.88,-2.17,4.17,45799.29,30000.00,42451.67,38110.00,tp@40126 tp@37838 tp@34138 v@38305
L,2021-06-03 00:00,2021-06-04 04:00,stop,37439.96,36947.43,1.316,-1.476,-14.76,-0.72,1.33,34153.84,38225.00,37058.61,38200.00,stop@36947
L,2021-07-07 20:00,2021-07-08 00:00,stop,33868.83,33431.40,1.292,-1.422,-14.22,-0.27,0.33,32699.00,35967.85,33532.00,34530.00,stop@33431
S,2021-07-17 08:00,2021-07-18 00:00,stop,31897.17,32345.93,1.407,-0.127,-1.27,-0.18,0.83,34678.43,31550.00,32249.18,31164.31,tp@31607 tp@31318 stop@32346
L,2021-08-22 20:00,2021-08-24 16:00,stop,48468.95,47905.85,1.162,1.201,12.01,-0.53,2.00,43927.70,49382.99,48050.00,49210.93,tp@48927 tp@49410 tp@50193 stop@47906
L,2021-09-03 20:00,2021-09-07 12:00,stop,49816.26,49107.80,1.422,2.128,21.28,-0.90,3.83,46250.00,50450.13,49255.57,51000.00,tp@51120 tp@51503 tp@52124 stop@49108
S,2021-09-22 04:00,2021-09-22 16:00,stop,42296.21,43425.55,2.670,-1.994,-19.94,-2.36,0.67,48843.20,39600.00,43295.66,39600.00,tp@42078 stop@43426
L,2021-09-26 00:00,2021-09-26 04:00,stop,42083.81,41521.34,1.337,-1.467,-14.67,-0.43,0.33,40675.00,45200.00,41646.28,42966.84,stop@41521
L,2021-10-07 20:00,2021-10-28 00:00,dexit,53834.97,53196.93,1.185,5.999,59.99,-0.42,20.33,43283.03,49536.12,53357.00,54700.00,tp@54465 dexit@58413
L,2021-10-30 04:00,2021-10-31 08:00,stop,61421.50,60517.52,1.472,-1.632,-16.32,-1.22,1.33,57820.00,62980.00,60699.62,62980.00,stop@60518
L,2021-11-12 08:00,2021-11-12 16:00,stop,63624.93,62634.43,1.557,-1.692,-16.92,-1.14,0.50,62822.90,69000.00,62822.90,65414.94,stop@62634
S,2021-11-19 12:00,2021-11-20 00:00,stop,57630.68,58660.39,1.787,-1.927,-19.27,-1.20,0.67,63617.31,56474.26,58484.94,55600.00,stop@58660
S,2021-12-06 12:00,2021-12-06 20:00,stop,48938.42,49848.15,1.859,-1.994,-19.94,-0.87,0.50,57600.00,42000.30,49699.05,47100.00,stop@49848
S,2021-12-14 08:00,2021-12-14 20:00,stop,47384.15,48075.99,1.460,-1.600,-16.00,-1.21,0.67,50777.00,45672.75,47932.19,46214.13,stop@48076
S,2021-12-18 04:00,2021-12-19 00:00,stop,46856.72,47582.42,1.549,-1.699,-16.99,-1.14,1.00,50189.97,45456.00,47440.10,45565.58,stop@47582
S,2022-01-08 00:00,2022-01-11 16:00,stop,42219.89,43012.12,1.876,-1.324,-13.24,-1.34,3.83,47070.00,40610.00,42883.47,40610.00,tp@41717 stop@43012
S,2022-01-22 20:00,2022-01-23 20:00,stop,35625.51,36301.34,1.897,-2.052,-20.52,-1.47,1.17,44500.00,40553.31,36192.76,34243.38,stop@36301
S,2022-01-25 12:00,2022-01-26 04:00,stop,37061.15,37662.65,1.623,-1.768,-17.68,-1.31,0.83,41100.00,32917.17,37550.00,35951.13,stop@37663
L,2022-01-30 12:00,2022-01-31 00:00,stop,37724.02,37156.63,1.504,-1.644,-16.44,-0.99,0.67,35507.01,38720.74,37268.44,38720.74,stop@37157
L,2022-02-12 00:00,2022-02-12 04:00,stop,42582.62,41923.85,1.547,-1.677,-16.77,-1.00,0.33,37026.73,45821.00,42050.00,43767.16,stop@41924
S,2022-02-25 12:00,2022-02-26 00:00,stop,39322.43,39962.53,1.628,-1.768,-17.68,-0.92,0.67,44164.71,34322.28,39843.00,38138.54,stop@39963
S,2022-03-08 00:00,2022-03-09 00:00,stop,38865.97,39666.21,2.059,-2.214,-22.14,-1.28,1.17,42527.30,37155.00,39547.57,37155.00,stop@39666
S,2022-03-14 16:00,2022-03-14 20:00,stop,39020.21,39417.88,1.019,-1.149,-11.49,-0.09,0.33,42039.63,37578.51,39299.98,38612.01,stop@39418
L,2022-04-13 00:00,2022-04-18 04:00,stop,39643.20,39143.61,1.260,-1.540,-15.40,-0.24,5.33,39200.00,42414.71,39261.39,40376.80,stop@39144
S,2022-05-03 08:00,2022-05-04 08:00,stop,38644.12,39025.29,0.986,-1.141,-11.41,-0.29,1.17,40797.31,37386.38,38908.56,38280.76,stop@39025
S,2022-05-10 12:00,2022-05-16 00:00,dexit,32076.55,32756.97,2.121,3.306,33.06,-0.96,5.67,39845.51,30033.33,32658.99,30600.00,tp@31304 tp@29814 dexit@31329
S,2022-06-08 00:00,2022-06-12 00:00,tp,30939.75,31524.14,1.889,8.672,86.72,-1.25,4.17,31765.64,29218.96,31429.85,29747.62,tp@28827 tp@28547 tp@28092 tp@27356
S,2022-06-12 12:00,2022-06-21 04:00,v,28140.51,28630.59,1.742,19.080,190.80,-0.74,8.83,31589.60,28850.00,28544.96,27190.00,tp@27356 v@21120
L,2022-07-19 04:00,2022-07-19 16:00,tp,21824.68,21323.84,2.295,3.689,36.89,-1.12,0.67,18910.94,20900.00,21388.00,22961.72,tp@22089 tp@22339 tp@22744 tp@23399
L,2022-07-22 16:00,2022-07-23 08:00,stop,22613.59,22274.44,1.500,-1.106,-11.06,-0.50,0.83,20762.45,24276.74,22341.46,23207.94,tp@22744 stop@22274
S,2022-08-23 00:00,2022-08-23 12:00,stop,21346.25,21613.36,1.251,-1.391,-13.91,-0.95,0.67,23208.67,20761.90,21548.71,20963.00,stop@21613
S,2022-08-30 00:00,2022-08-30 04:00,stop,20186.80,20445.40,1.281,-1.411,-14.11,-0.55,0.33,21886.77,19520.00,20384.25,19805.00,stop@20445
L,2022-09-18 08:00,2022-09-18 16:00,stop,19911.69,19688.84,1.119,-1.254,-12.54,-0.94,0.50,19291.75,22799.00,19748.08,20189.00,stop@19689
