time,bar_t,event,detail
2019-05-21 00:00,837,ORDER_CREATE,"{""key"": 835, ""level"": 7656.9445, ""stop"": 7530.341, ""atr_idx"": 836, ""atr_end_time"": 1558396799999, ""r_confirm_time"": 1558382399999}"
2019-05-21 00:00,837,SIGNAL,"{""key"": 835}"
2019-05-21 23:59,842,R_REPLACED,"{""old_key"": 835, ""new_key"": 842}"
2019-05-21 23:59,842,ORDER_CANCEL,"{""key"": 835, ""reason"": ""R_REPLACED"", ""level"": 7656.9445}"
2019-05-22 00:00,843,D_DISARM,"{""day"": ""2019-05-21"", ""P0"": 7156.61, ""H1"": 8275.09}"
2019-05-30 00:00,891,D_ARM,"{""day"": ""2019-05-29"", ""P0"": 7833.42, ""H1"": 8908.32}"
2019-05-30 00:00,891,ORDER_CREATE,"{""key"": 889, ""level"": 8605.5431, ""stop"": 8501.6483, ""atr_idx"": 890, ""atr_end_time"": 1559174399999, ""r_confirm_time"": 1559159999999}"
2019-05-30 00:00,891,SIGNAL,"{""key"": 889}"
2019-05-30 00:05,891,FILL,"{""signal_id"": ""L-2019-05-29 19:59-4"", ""expected"": 8605.5431, ""entry"": 8605.5431, ""stop"": 8501.6483, ""key"": 889}"
2019-05-30 07:59,892,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2019-05-29 19:59-4""}"
2019-05-30 15:59,894,EXIT,"{""exit_kind"": ""tp"", ""px"": 8926.734, ""frac"": 0.25, ""signal_id"": ""L-2019-05-29 19:59-4""}"
2019-05-30 16:04,895,EXIT,"{""exit_kind"": ""tp"", ""px"": 9041.844, ""frac"": 0.25, ""signal_id"": ""L-2019-05-29 19:59-4""}"
2019-05-30 20:19,896,EXIT,"{""exit_kind"": ""stop"", ""px"": 8501.6483, ""frac"": 0.5, ""signal_id"": ""L-2019-05-29 19:59-4""}"
2019-06-01 00:00,903,D_ARM,"{""day"": ""2019-05-31"", ""P0"": 8005.0, ""H1"": 9074.26}"
2019-06-01 00:00,903,ORDER_CREATE,"{""key"": 900, ""level"": 8215.8887, ""stop"": 8084.1745, ""atr_idx"": 902, ""atr_end_time"": 1559347199999, ""r_confirm_time"": 1559318399999}"
2019-06-01 00:00,903,SIGNAL,"{""key"": 900}"
2019-06-02 00:00,909,D_DISARM,"{""day"": ""2019-06-01"", ""P0"": 8005.0, ""H1"": 9074.26}"
2019-06-02 00:00,909,ORDER_CANCEL,"{""key"": 900, ""reason"": ""D_DISARMED"", ""level"": 8215.8887}"
2019-06-25 00:00,1047,D_ARM,"{""day"": ""2019-06-24"", ""P0"": 9921.72, ""H1"": 11392.64}"
2019-06-25 00:00,1047,ORDER_CREATE,"{""key"": 1043, ""level"": 10747.9587, ""stop"": 10588.9376, ""atr_idx"": 1046, ""atr_end_time"": 1561420799999, ""r_confirm_time"": 1561377599999}"
2019-06-25 00:00,1047,SIGNAL,"{""key"": 1043}"
2019-06-25 07:59,1048,R_REPLACED,"{""old_key"": 1043, ""new_key"": 1048}"
2019-06-25 07:59,1048,ORDER_CANCEL,"{""key"": 1043, ""reason"": ""R_REPLACED"", ""level"": 10747.9587}"
2019-06-25 08:00,1049,ORDER_CREATE,"{""key"": 1048, ""level"": 11029.7139, ""stop"": 10828.756, ""atr_idx"": 1048, ""atr_end_time"": 1561449599999, ""r_confirm_time"": 1561449599999}"
2019-06-25 08:00,1049,SIGNAL,"{""key"": 1048}"
2019-06-25 15:59,1050,R_REPLACED,"{""old_key"": 1048, ""new_key"": 1050}"
2019-06-25 15:59,1050,ORDER_CANCEL,"{""key"": 1048, ""reason"": ""R_REPLACED"", ""level"": 11029.7139}"
2019-06-25 16:00,1051,ORDER_CREATE,"{""key"": 1050, ""level"": 11272.1793, ""stop"": 11124.4363, ""atr_idx"": 1050, ""atr_end_time"": 1561478399999, ""r_confirm_time"": 1561478399999}"
2019-06-25 16:00,1051,SIGNAL,"{""key"": 1050}"
2019-06-25 17:40,1051,FILL,"{""signal_id"": ""L-2019-06-25 15:59-5"", ""expected"": 11272.1793, ""entry"": 11272.1793, ""stop"": 11124.4363, ""key"": 1050}"
2019-06-25 22:59,1052,EXIT,"{""exit_kind"": ""tp"", ""px"": 11749.2654, ""frac"": 0.25, ""signal_id"": ""L-2019-06-25 15:59-5""}"
2019-06-25 23:59,1052,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2019-06-25 15:59-5""}"
2019-06-26 00:49,1053,EXIT,"{""exit_kind"": ""tp"", ""px"": 11969.103, ""frac"": 0.25, ""signal_id"": ""L-2019-06-25 15:59-5""}"
2019-06-26 04:04,1054,EXIT,"{""exit_kind"": ""tp"", ""px"": 12325.7285, ""frac"": 0.25, ""signal_id"": ""L-2019-06-25 15:59-5""}"
2019-06-26 05:14,1054,EXIT,"{""exit_kind"": ""tp"", ""px"": 12902.1915, ""frac"": 0.25, ""signal_id"": ""L-2019-06-25 15:59-5""}"
2019-06-29 00:00,1071,D_ARM,"{""day"": ""2019-06-28"", ""P0"": 10525.1, ""H1"": 13478.04}"
2019-06-29 00:00,1071,ORDER_CREATE,"{""key"": 1065, ""level"": 10851.8218, ""stop"": 10493.5247, ""atr_idx"": 1070, ""atr_end_time"": 1561766399999, ""r_confirm_time"": 1561694399999}"
2019-06-29 00:00,1071,SIGNAL,"{""key"": 1065}"
