version,feature,population,period,tercile,n,mean_R,mean_R_top2rm,median_R,p_win2r,p_ride7,stop_rate,pr_p5,pr_p95
V2,RET14,P-R(median of runs),TEST,0,10.0,0.7971,,-0.7521,22.22,11.11,58.33,0.00,28.68
V2,RET14,P-R(median of runs),TEST,1,10.0,1.8082,,-1.1096,25.00,22.22,72.73,8.33,45.45
V2,RET14,P-R(median of runs),TEST,2,3.0,-0.8978,,-1.1119,0.00,0.00,100.00,0.00,33.33
V2,STOPPCT,P-A,DEV,0,18,0.4705,-0.0237,-1.0942,16.67,16.67,83.33,,
V2,STOPPCT,P-A,DEV,1,18,0.0902,-0.5550,-1.0834,11.11,11.11,77.78,,
V2,STOPPCT,P-A,DEV,2,21,0.2181,0.2181,-1.0582,14.29,9.52,80.95,,
V2,STOPPCT,P-S,DEV,0,22,0.2018,-0.2110,-1.0958,13.64,13.64,86.36,,
V2,STOPPCT,P-S,DEV,1,22,0.1151,-0.4060,-1.0794,13.64,9.09,81.82,,
V2,STOPPCT,P-S,DEV,2,22,0.5697,0.5697,-1.0524,22.73,18.18,77.27,,
V2,STOPPCT,P-A,TEST,0,15,4.2719,0.7136,-0.6351,40.00,20.00,66.67,,
V2,STOPPCT,P-A,TEST,1,5,-1.1184,-1.1184,-1.1096,0.00,0.00,100.00,,
V2,STOPPCT,P-A,TEST,2,5,-0.2781,-0.2781,-1.0608,20.00,20.00,60.00,,
V2,STOPPCT,P-S,TEST,0,17,3.6377,0.4693,-0.7569,35.29,17.65,70.59,,
V2,STOPPCT,P-S,TEST,1,9,-0.2873,-0.2873,-1.0956,11.11,11.11,88.89,,
V2,STOPPCT,P-S,TEST,2,9,-0.3613,-0.3613,-1.0608,11.11,11.11,77.78,,
V2,DDEPTH,P-A,DEV,0,18,-0.0931,-0.0931,-1.0605,11.11,5.56,88.89,,
V2,DDEPTH,P-A,DEV,1,17,0.7734,-0.4521,-1.0797,17.65,17.65,82.35,,
V2,DDEPTH,P-A,DEV,2,22,0.1454,0.1454,-1.0592,13.64,13.64,72.73,,
V2,DDEPTH,P-S,DEV,0,22,-0.0196,-0.0196,-1.0605,13.64,4.55,90.91,,
V2,DDEPTH,P-S,DEV,1,22,0.7608,-0.1596,-1.0855,22.73,22.73,81.82,,
V2,DDEPTH,P-S,DEV,2,22,0.1454,0.1454,-1.0592,13.64,13.64,72.73,,
V2,DDEPTH,P-A,TEST,0,15,4.0641,0.4738,-0.7569,33.33,20.00,73.33,,
V2,DDEPTH,P-A,TEST,1,8,-0.2726,-0.2726,-1.0821,25.00,12.50,75.00,,
V2,DDEPTH,P-A,TEST,2,2,-0.8424,-0.8424,-0.8424,0.00,0.00,50.00,,
V2,DDEPTH,P-S,TEST,0,18,3.2042,0.1796,-0.9245,27.78,16.67,77.78,,
V2,DDEPTH,P-S,TEST,1,13,-0.5582,-0.5582,-1.0939,15.38,7.69,84.62,,
V2,DDEPTH,P-S,TEST,2,4,1.3961,1.3961,0.1919,25.00,25.00,50.00,,
V3,RET100,P-A,DEV,0,19,-0.2362,-0.5448,-1.0780,10.53,10.53,94.74,,
V3,RET100,P-A,DEV,1,16,0.1112,0.1112,-1.0762,6.25,6.25,93.75,,
V3,RET100,P-A,DEV,2,17,0.1462,-0.1612,-1.0598,17.65,5.88,70.59,,
V3,RET100,P-S,DEV,0,19,-0.2362,-0.5448,-1.0780,10.53,10.53,94.74,,
V3,RET100,P-S,DEV,1,20,0.1056,0.1056,-1.0762,5.00,10.00,90.00,,
V3,RET100,P-S,DEV,2,19,0.2832,0.0176,-0.0865,21.05,5.26,73.68,,
V3,RET100,P-R(median of runs),DEV,0,19.0,0.0578,,-0.7401,10.53,0.00,73.68,0.00,10.00
V3,RET100,P-R(median of runs),DEV,1,15.5,-0.0312,,-1.1012,9.31,0.00,84.62,0.00,13.33
V3,RET100,P-R(median of runs),DEV,2,15.0,-0.1320,,-1.0812,7.14,0.00,82.35,0.00,7.69
V3,RET100,P-A,TEST,0,6,1.1273,-0.6753,-1.0855,16.67,16.67,83.33,,
V3,RET100,P-A,TEST,1,16,1.5884,0.4443,0.2885,25.00,12.50,68.75,,
V3,RET100,P-A,TEST,2,5,0.7277,0.7277,0.9859,20.00,0.00,100.00,,
V3,RET100,P-S,TEST,0,6,1.1273,-0.6753,-1.0855,16.67,16.67,83.33,,
V3,RET100,P-S,TEST,1,19,1.1581,0.1809,-1.0718,21.05,10.53,73.68,,
V3,RET100,P-S,TEST,2,10,0.0280,0.0280,-1.0718,10.00,0.00,100.00,,
V3,RET100,P-R(median of runs),TEST,0,6.0,0.8443,,-0.0550,20.00,14.29,62.50,0.00,42.86
V3,RET100,P-R(median of runs),TEST,1,15.0,0.4621,,-0.5927,13.33,7.14,77.78,0.00,20.00
V3,RET100,P-R(median of runs),TEST,2,3.0,-0.0949,,-0.2048,0.00,0.00,100.00,0.00,25.00
V3,MA200,P-A,DEV,0,19,-0.2584,-0.2584,-1.0785,10.53,10.53,94.74,,
V3,MA200,P-A,DEV,1,16,0.2213,-0.1185,-1.0680,12.50,6.25,93.75,,
V3,MA200,P-A,DEV,2,17,0.0674,-0.2449,-1.0598,11.76,5.88,70.59,,
V3,MA200,P-S,DEV,0,19,-0.2584,-0.2584,-1.0785,10.53,10.53,94.74,,
V3,MA200,P-S,DEV,1,20,0.1936,-0.0761,-1.0680,10.00,10.00,90.00,,
V3,MA200,P-S,DEV,2,19,0.2127,-0.0569,-0.0865,15.79,5.26,73.68,,
V3,MA200,P-R(median of runs),DEV,0,19.0,0.0082,,-0.9069,10.53,0.00,73.68,0.00,6.67
V3,MA200,P-R(median of runs),DEV,1,15.0,-0.0477,,-1.1030,7.69,0.00,86.67,0.00,9.30
V3,MA200,P-R(median of runs),DEV,2,17.0,-0.0704,,-1.0781,11.11,0.00,80.00,0.00,11.14
V3,MA200,P-A,TEST,0,2,-1.1110,-1.1110,-1.1110,0.00,0.00,100.00,,
V3,MA200,P-A,TEST,1,19,1.8316,0.3478,0.9859,26.32,15.79,73.68,,
V3,MA200,P-A,TEST,2,6,0.5394,0.5394,0.2920,16.67,0.00,83.33,,
V3,MA200,P-S,TEST,0,2,-1.1110,-1.1110,-1.1110,0.00,0.00,100.00,,
V3,MA200,P-S,TEST,1,22,1.5259,0.2340,-0.0530,22.73,13.64,77.27,,
V3,MA200,P-S,TEST,2,11,-0.2090,-0.2090,-1.0722,9.09,0.00,90.91,,
V3,MA200,P-R(median of runs),TEST,0,3.0,0.1457,,-0.0306,0.00,0.00,66.67,0.00,66.67
V3,MA200,P-R(median of runs),TEST,1,17.0,0.8048,,-0.0836,17.65,11.76,70.59,0.00,23.53
V3,MA200,P-R(median of runs),TEST,2,6.0,-0.3413,,-1.0764,0.00,0.00,100.00,0.00,20.25
V3,VOL30,P-A,DEV,0,16,-0.0857,-0.0857,-1.0738,6.25,6.25,87.50,,
V3,VOL30,P-A,DEV,1,19,0.5439,-0.0028,0.1602,21.05,10.53,84.21,,
V3,VOL30,P-A,DEV,2,17,-0.5404,-0.5404,-1.0688,5.88,5.88,88.24,,
V3,VOL30,P-S,DEV,0,18,-0.0650,-0.0650,-1.0738,5.56,11.11,83.33,,
V3,VOL30,P-S,DEV,1,21,0.5011,0.0074,0.1602,19.05,9.52,85.71,,
V3,VOL30,P-S,DEV,2,19,-0.3341,-0.3341,-1.0639,10.53,5.26,89.47,,
V3,VOL30,P-R(median of runs),DEV,0,19.0,-0.0774,,-1.0804,10.00,0.00,76.47,0.00,11.76
V3,VOL30,P-R(median of runs),DEV,1,15.0,0.0434,,-1.0938,11.44,0.00,83.33,0.00,7.72
V3,VOL30,P-R(median of runs),DEV,2,16.0,-0.0913,,-1.0693,11.11,0.00,80.00,0.00,7.17
V3,VOL30,P-A,TEST,0,12,2.9162,0.6105,1.0471,33.33,25.00,66.67,,
V3,VOL30,P-A,TEST,1,9,-0.1174,-0.1174,-1.0718,11.11,0.00,100.00,,
V3,VOL30,P-A,TEST,2,6,0.3130,0.3130,0.3001,16.67,0.00,66.67,,
V3,VOL30,P-S,TEST,0,13,2.6058,0.4534,0.9935,30.77,23.08,69.23,,
V3,VOL30,P-S,TEST,1,13,-0.2564,-0.2564,-1.0718,7.69,0.00,100.00,,
V3,VOL30,P-S,TEST,2,9,-0.1662,-0.1662,-1.0722,11.11,0.00,77.78,,
V3,VOL30,P-R(median of runs),TEST,0,13.0,1.0492,,0.4367,21.43,15.38,69.23,0.00,30.77
V3,VOL30,P-R(median of runs),TEST,1,6.5,0.2523,,-0.6140,15.48,12.50,83.33,0.00,33.33
V3,VOL30,P-R(median of runs),TEST,2,6.0,-0.3719,,-1.0940,0.00,0.00,85.71,0.00,16.67
V3,RET14,P-A,DEV,0,19,-0.5294,-0.5294,-1.0688,5.26,5.26,94.74,,
V3,RET14,P-A,DEV,1,18,0.1164,-0.1896,-1.0819,11.11,11.11,77.78,,
V3,RET14,P-A,DEV,2,15,0.5161,0.1912,0.9443,20.00,6.67,86.67,,
V3,RET14,P-S,DEV,0,19,-0.5294,-0.5294,-1.0688,5.26,5.26,94.74,,
