version,stop_id,group,src,entry_time,entry_px,stop_px,stop_dist_pct,year,stopped,censored,max_R,bars_to_exit
V2,S1,STRAT_S1,0.236-81,2024-01-11 06:15,45619.89,44665.60,2.0918,2024,1,0,3.5100,398
V2,S1,STRAT_S1,0.236-82,2024-03-04 00:45,62340.50,61635.63,1.1307,2024,1,0,9.4478,514
V2,S1,STRAT_S1,0.236-83,2024-03-10 14:40,68804.07,67995.40,1.1753,2024,1,0,1.1927,122
V2,S1,STRAT_S1,0.236-84,2024-04-08 00:00,69405.82,68643.22,1.0988,2024,1,0,4.4481,465
V2,S1,STRAT_S1,0.236-85,2024-04-14 00:00,64888.76,63558.76,2.0497,2024,1,0,0.0000,4
V2,S1,STRAT_S1,0.236-86,2024-05-16 15:00,65374.79,64525.84,1.2986,2024,1,0,7.8005,9493
V2,S1,STRAT_S1,0.236-87,2024-08-29 00:00,59024.81,58267.74,1.2826,2024,1,0,2.8296,468
V2,S1,STRAT_S1,0.236-88,2024-10-15 04:00,65901.79,65262.62,0.9699,2024,1,0,0.0000,18
V2,S1,STRAT_S1,0.236-89,2024-11-07 04:05,74905.04,73927.55,1.3050,2024,0,1,34.2181,17280
V2,S1,STRAT_S1,0.236-90,2024-11-12 10:00,87230.48,85793.84,1.6469,2024,1,0,0.5521,9
V2,S1,STRAT_S1,0.236-91,2024-11-14 07:00,89129.18,87239.98,2.1196,2024,1,0,1.4084,169
V2,S1,STRAT_S1,0.236-92,2024-11-30 01:45,96613.92,95329.15,1.3298,2024,1,0,1.1800,655
V2,S1,STRAT_S1,0.236-93,2025-02-01 00:00,103245.58,101815.63,1.3850,2025,1,0,0.0000,108
V2,S1,STRAT_S1,0.236-94,2025-04-03 00:00,85671.74,84209.30,1.7070,2025,1,0,0.0000,0
V2,S1,STRAT_S1,0.236-95,2025-04-13 08:05,84300.58,83224.52,1.2765,2025,1,0,0.6409,139
V2,S1,STRAT_S1,0.236-96,2025-06-10 14:30,108643.91,107313.00,1.2250,2025,1,0,1.3195,525
V2,S1,STRAT_S1,0.236-97,2025-08-13 02:15,119122.60,117930.15,1.0010,2025,1,0,4.4877,412
V2,S1,STRAT_S1,0.236-98,2025-12-03 14:00,91965.83,90717.26,1.3576,2025,1,0,1.7493,569
V2,S1,STRAT_S1,0.236-99,2026-01-08 12:00,90276.75,89372.91,1.0012,2026,1,0,0.0000,33
V2,S1,STRAT_S1,0.236-100,2026-08-22 05:10,77062.14,76007.05,1.3691,2026,1,0,0.5754,288
V2,S1,STRAT_S1,0.236-101,2026-08-25 09:50,79367.75,78233.20,1.4295,2026,1,0,0.1025,48
V2,S1,BASE_S1,0.236-1,2019-04-09 15:00,5147.25,5098.50,0.9472,2019,1,0,5.6355,513
V2,S1,BASE_S1,0.236-1,2019-04-12 01:45,4878.02,4831.82,0.9472,2019,0,1,90.8215,17148
V2,S1,BASE_S1,0.236-1,2019-04-15 10:15,5127.04,5078.48,0.9472,2019,1,0,0.3628,86
V2,S1,BASE_S1,0.236-1,2019-04-10 07:45,5216.95,5167.54,0.9472,2019,1,0,4.1497,237
V2,S1,BASE_S1,0.236-1,2019-04-18 08:15,5240.12,5190.49,0.9472,2019,1,0,0.9445,210
V2,S1,BASE_S1,0.236-1,2019-04-18 12:55,5234.79,5185.21,0.9472,2019,1,0,1.0530,154
V2,S1,BASE_S1,0.236-1,2019-04-09 07:20,5167.05,5118.11,0.9472,2019,1,0,0.0186,12
V2,S1,BASE_S1,0.236-1,2019-04-16 12:40,5038.42,4990.70,0.9472,2019,0,1,84.5690,17148
V2,S1,BASE_S1,0.236-1,2019-04-17 06:00,5190.30,5141.14,0.9472,2019,1,0,8.3338,2498
V2,S1,BASE_S1,0.236-1,2019-04-12 21:10,5032.35,4984.69,0.9472,2019,1,0,2.8329,821
V2,S1,BASE_S1,0.236-1,2019-04-16 13:20,5033.74,4986.06,0.9472,2019,0,1,84.7458,17148
V2,S1,BASE_S1,0.236-1,2019-04-13 08:30,5035.01,4987.32,0.9472,2019,1,0,2.7756,685
V2,S1,BASE_S1,0.236-1,2019-04-09 06:05,5151.76,5102.96,0.9472,2019,1,0,0.5214,49
V2,S1,BASE_S1,0.236-1,2019-04-11 19:10,5053.30,5005.44,0.9472,2019,1,0,0.0000,29
V2,S1,BASE_S1,0.236-1,2019-04-15 19:00,5040.75,4993.01,0.9472,2019,1,0,0.1217,12
V2,S1,BASE_S1,0.236-1,2019-04-17 13:40,5179.07,5130.02,0.9472,2019,1,0,8.5808,2406
V2,S1,BASE_S1,0.236-1,2019-04-16 17:30,5154.20,5105.38,0.9472,2019,1,0,9.1317,2648
V2,S1,BASE_S1,0.236-1,2019-04-18 06:05,5241.74,5192.09,0.9472,2019,1,0,0.9116,236
V2,S1,BASE_S1,0.236-1,2019-04-16 06:20,5069.59,5021.57,0.9472,2019,1,0,0.1847,92
V2,S1,BASE_S1,0.236-1,2019-04-13 10:30,5028.50,4980.87,0.9472,2019,1,0,2.9159,691
V2,S1,BASE_S1,0.236-2,2019-05-17 07:15,7338.70,7194.64,1.9630,2019,1,0,0.2349,38
