version,candidate_id,entry_time,entry_px,year,r_6h,r_24h,r_3d,r_7d,r_14d,r_30d,base_mean_6h,base_mean_24h,base_mean_3d,base_mean_7d,base_mean_14d,base_mean_30d,excess_6h,excess_24h,excess_3d,excess_7d,excess_14d,excess_30d
V2,0.236-45,2021-05-12 16:15,54963.92,2021,-0.03947,-0.09064,-0.12749,-0.39740,-0.33721,-0.39940,-0.01526,-0.03783,-0.13863,-0.27358,-0.33470,-0.30666,-0.02420,-0.05282,0.01114,-0.12382,-0.00251,-0.09274
V2,0.236-46,2021-05-28 00:05,38075.35,2021,-0.03126,-0.06170,-0.05678,0.02159,-0.03178,-0.16996,-0.00488,0.01342,0.02471,-0.00723,-0.00214,-0.06496,-0.02638,-0.07512,-0.08149,0.02882,-0.02965,-0.10500
V2,0.236-47,2021-06-03 00:10,37439.96,2021,0.03290,0.03705,-0.05530,-0.00912,0.02922,-0.10628,-0.01349,-0.01300,-0.00504,0.01023,-0.00742,-0.04753,0.04639,0.05005,-0.05026,-0.01935,0.03664,-0.05875
V2,0.236-48,2021-06-17 00:00,38755.99,2021,0.00033,-0.01996,-0.08521,-0.14171,-0.10300,-0.20990,0.00023,0.00287,-0.02227,-0.08809,-0.08607,-0.13485,0.00010,-0.02283,-0.06294,-0.05363,-0.01693,-0.07505
V2,0.236-49,2021-07-05 00:00,34977.55,2021,-0.01988,-0.03618,-0.03376,-0.01850,-0.09774,0.08676,0.00067,0.00662,0.00188,-0.02236,-0.06428,0.19271,-0.02055,-0.04279,-0.03563,0.00385,-0.03346,-0.10595
V2,0.236-50,2021-08-02 04:00,40032.15,2021,-0.01176,-0.03662,-0.01485,0.08350,0.16981,0.16015,0.00426,0.01330,0.01811,0.07655,0.13631,0.19161,-0.01603,-0.04992,-0.03296,0.00694,0.03350,-0.03146
V2,0.236-51,2021-08-22 00:00,48892.53,2021,0.00579,0.00952,-0.02247,-0.00094,0.02107,-0.13295,0.00814,0.00742,0.02323,0.00908,0.04931,-0.04444,-0.00235,0.00210,-0.04570,-0.01003,-0.02825,-0.08851
V2,0.236-52,2021-09-03 22:10,49816.26,2021,0.00978,0.00800,0.04779,-0.11285,-0.05012,-0.03730,-0.00071,0.01077,-0.01671,-0.05823,-0.05789,-0.01298,0.01049,-0.00277,0.06451,-0.05462,0.00777,-0.02431
V2,0.236-53,2021-09-26 02:10,42083.81,2021,-0.01892,0.04860,-0.01078,0.12540,0.25778,0.39847,-0.00284,0.00776,0.00825,0.06250,0.23176,0.36023,-0.01609,0.04084,-0.01904,0.06290,0.02602,0.03824
V2,0.236-54,2021-10-07 22:20,53834.97,2021,0.00202,0.00575,0.01840,0.06673,0.15479,0.13073,0.00252,0.00641,0.04882,0.10050,0.16964,0.18064,-0.00050,-0.00066,-0.03042,-0.03377,-0.01485,-0.04991
V2,0.236-55,2021-10-09 00:00,54366.06,2021,0.00913,0.00941,0.05173,0.12435,0.10839,0.15337,0.00333,0.02063,0.04564,0.10305,0.12992,0.15667,0.00580,-0.01122,0.00610,0.02130,-0.02153,-0.00330
V2,0.236-56,2021-10-18 13:00,60023.47,2021,0.02510,0.03544,0.08141,0.04351,0.02856,0.00774,0.00492,0.00881,0.02342,-0.00073,0.00083,-0.02302,0.02018,0.02662,0.05798,0.04424,0.02773,0.03076
V2,0.236-57,2021-10-30 05:00,61421.50,2021,0.00873,-0.00068,-0.00178,-0.00299,0.03501,-0.07036,0.00073,0.00078,0.00505,0.03567,0.03563,-0.08281,0.00800,-0.00145,-0.00683,-0.03866,-0.00062,0.01245
V2,0.236-58,2021-11-12 09:55,63624.93,2021,-0.00740,-0.00270,0.03627,-0.11013,-0.14796,-0.26514,0.00148,0.00545,-0.02855,-0.06309,-0.11901,-0.27093,-0.00888,-0.00815,0.06482,-0.04704,-0.02895,0.00579
V2,0.236-59,2022-01-30 14:20,37724.02,2022,-0.00045,-0.01104,0.01489,0.10145,0.11981,0.16575,0.00549,0.01243,0.03025,0.10189,0.12865,0.07503,-0.00594,-0.02347,-0.01536,-0.00045,-0.00883,0.09072
V2,0.236-60,2022-02-12 00:00,42582.62,2022,-0.00871,-0.00941,-0.00002,-0.06319,-0.08274,-0.11943,0.00212,-0.00294,-0.02073,-0.07664,-0.08760,-0.07643,-0.01083,-0.00648,0.02071,0.01345,0.00486,-0.04300
V2,0.236-61,2022-03-04 08:00,41538.10,2022,-0.00417,-0.06274,-0.09414,-0.06077,-0.02362,0.11075,0.00120,0.00861,-0.01187,-0.03267,-0.00068,0.12027,-0.00537,-0.07134,-0.08228,-0.02810,-0.02293,-0.00952
V2,0.236-62,2022-04-13 01:15,39643.20,2022,0.01133,0.04084,0.02449,0.04143,-0.03499,-0.29823,-0.00338,-0.01394,-0.02171,-0.02799,-0.05419,-0.29512,0.01472,0.05478,0.04620,0.06942,0.01920,-0.00311
